title,release_date,rating,popularity
Obsession,2026-05-13,7.9,817.0684
Peddi,2026-06-03,6.453,764.3619
Hai Jawani Toh Ishq Hona Hai,2026-06-04,5.4,548.4534
The Unknown Man,2021-10-16,8.063,672.0008
Michael,2026-04-22,8.5,460.9936
Mortal Kombat II,2026-05-06,7.994,439.2321
The Mandalorian and Grogu,2026-05-20,6.8,323.5333
The Super Mario Galaxy Movie,2026-04-01,8.167,321.1512
Masters of the Universe,2026-06-03,7.3,293.9049
Karuppu,2026-05-14,7.6,332.5493
Lee Cronin's The Mummy,2026-04-15,8.065,250.2756
Your Heart Will Be Broken,2026-03-26,6.8,227.796
KD – The Devil,2026-04-30,7.5,244.9469
Office Romance,2026-06-04,6.5,206.8939
Disclosure Day,2026-06-10,7.2,310.9838
In the Grey,2026-05-13,6.633,189.5511
The Punisher: One Last Kill,2026-05-12,8.358,179.3429
Maa Behen,2026-06-04,7.1,182.5159
Kara,2026-04-30,6.1,159.2554
Project Hail Mary,2026-03-15,8.671,173.9269
